,trait,efo,confidence
2981,Operative procedures - secondary OPCS4 (Y40.1 Dilation of stricture of organ NOC),stricture or kinking of ureter,5
2982,Operative procedures - secondary OPCS4 (Y40.3 Balloon dilation of organ NOC),Dilation of Virchow-Robin spaces,4
2983,Operative procedures - secondary OPCS4 (Y41.1 Examination of organ under anaesthetic NOC),inhalation anaesthetic,4
2984,Operative procedures - secondary OPCS4 (Y44.2 Monitoring of pressure in organ NOC),obsolete_blood cobalt measurement,2
2985,Operative procedures - secondary OPCS4 (Y46.2 Frontal open approach to contents of cranium),tumor of cranial and spinal nerves,3
2986,Operative procedures - secondary OPCS4 (Y46.8 Other specified open approach to contents of cranium),obsolete_cranial vault morphology measurement,4
2987,Operative procedures - secondary OPCS4 (Y46.9 Unspecified open approach to contents of cranium),obsolete_delayed membranous cranial ossification,4
2988,Operative procedures - secondary OPCS4 (Y47.2 Frontal burrhole approach to contents of cranium),Abnormal posterior cranial fossa morphology,4
2989,Operative procedures - secondary OPCS4 (Y49.1 Median sternotomy approach),Postpericardiotomy Syndrome,3
2990,Operative procedures - secondary OPCS4 (Y49.3 Thoracotomy approach NEC),intrathoracic organ injury,4
2991,Operative procedures - secondary OPCS4 (Y50.2 Laparotomy approach NEC),hysterectomy,3
2992,Operative procedures - secondary OPCS4 (Y50.8 Other specified approach through abdominal cavity),obsolete_abdominal cavity,5
2993,Operative procedures - secondary OPCS4 (Y52.8 Other specified approach to organ through other opening),multicellular organismal process,3
2994,Operative procedures - secondary OPCS4 (Y53.1 Approach to organ under radiological control),encounter with health service related to reproduction,2
2995,Operative procedures - secondary OPCS4 (Y53.2 Approach to organ under ultrasonic control),inorganic gas treatment,3
2996,Operative procedures - secondary OPCS4 (Y53.3 Approach to organ under computed tomography scan control),computed tomography,5
2997,Operative procedures - secondary OPCS4 (Y53.4 Approach to organ under fluoroscopic control),obsolete_skin fluorescence measurement,2
2998,Operative procedures - secondary OPCS4 (Y53.5 Approach to organ under image intensifier),MRI defined brain infarct.,3
2999,Operative procedures - secondary OPCS4 (Y53.6 Approach to organ under video control),eyeball of camera-type eye,4
3000,Operative procedures - secondary OPCS4 (Y53.8 Other specified approach to organ under image control),HCS image acquisition and feature extraction protocol,4
3001,Operative procedures - secondary OPCS4 (Y53.9 Unspecified approach to organ under image control),HCS image acquistion and feature extraction protocol,4
3002,Operative procedures - secondary OPCS4 (Y58.1 Harvest of full thickness skin from post auricular region),Preauricular skin tag,4
3003,Operative procedures - secondary OPCS4 (Y58.8 Other specified harvest of skin for graft),encounter with health service for breast reconstruction following mastectomy,4
3004,Operative procedures - secondary OPCS4 (Y58.9 Unspecified harvest of skin for graft),encounter with health service for breast reconstruction following mastectomy,4
3005,Operative procedures - secondary OPCS4 (Y59.1 Harvest of temporalis flap of skin and fascia),banks of superior temporal sulcus,3
3006,Operative procedures - secondary OPCS4 (Y65.8 Other specified harvest of tendon),proximal placement of thumb,3
3007,Operative procedures - secondary OPCS4 (Y66.3 Harvest of bone from iliac crest),stroma of bone marrow,3
3008,Operative procedures - secondary OPCS4 (Y66.8 Other specified harvest of bone),collecting specimen from organism,5
3009,Operative procedures - secondary OPCS4 (Y67.2 Harvest of composite of skin and fat),strand of hair of face,3
3010,Operative procedures - secondary OPCS4 (Y69.8 Other specified harvest of other tissue),collecting specimen from organism,5
3011,Operative procedures - secondary OPCS4 (Y70.1 Emergency operations NOC),paracentesis,3
3012,Operative procedures - secondary OPCS4 (Y70.3 First stage of staged operations NOC),NX lymph node stage,3
3013,Operative procedures - secondary OPCS4 (Y70.5 Temporary operations),Therapeutic Procedure,4
3014,Operative procedures - secondary OPCS4 (Y71.1 Subsequent stage of staged operations NOC),SE.02 two nodes or internodes visible stage,4
3015,Operative procedures - secondary OPCS4 (Y71.2 Secondary operations NOC),HCS data analysis protocol,3
3016,Operative procedures - secondary OPCS4 (Y71.3 Revisional operations NOC),Incisional hernia,4
3017,Operative procedures - secondary OPCS4 (Y71.4 Failed minimal access approach converted to open),"obsolete_primary megaureter, adult-onset form",2
3018,Operative procedures - secondary OPCS4 (Y71.8 Other specified late operations NOC),obsolete_clinical information,3
3019,Operative procedures - secondary OPCS4 (Y73.1 Cardiopulmonary bypass),coronary artery bypass,5
3020,Operative procedures - secondary OPCS4 (Y74.4 Thoracoscopic video-assisted approach to thoracic cavity),thoracic cavity,5
3021,Operative procedures - secondary OPCS4 (Y75.1 Laparoscopically assisted approach to abdominal cavity),Gastrostomy tube feeding in infancy,2
3022,Operative procedures - secondary OPCS4 (Y75.2 Laparoscopic approach to abdominal cavity NEC),obsolete abdominal and pelvic region disorder,4
3023,Operative procedures - secondary OPCS4 (Y75.3 Robotic minimal access approach to abdominal cavity),Hernia of the abdominal wall,3
3024,Operative procedures - secondary OPCS4 (Y76.1 Functional endoscopic sinus surgery),paranasal sinus disease,5
3025,Operative procedures - secondary OPCS4 (Y76.2 Functional endoscopic nasal surgery),bronchoscopic microsampling,2
3026,Operative procedures - secondary OPCS4 (Y76.3 Endoscopic approach to other body cavity),Abnormality of the abdominal organs,4
3027,Y76.5 Robotic assisted minimal access approach to other body cavity,encounter with health service related to previous surgical history,4
3028,Operative procedures - secondary OPCS4 (Y76.6 Endonasal endoscopic approach to other body cavity),obsolete_non-syndromic respiratory or mediastinal malformation,4
3029,Y76.7 Arthroscopic approach to joint,total knee arthroplasty,3
3030,Operative procedures - secondary OPCS4 (Y78.9 Unspecified arteriotomy approach to organ under image control),obsolete_arterial tortuosity syndrome,3
3031,Operative procedures - secondary OPCS4 (Y79.8 Other specified approach to organ through artery),obsolete_pulmonary artery,4
3032,Operative procedures - secondary OPCS4 (Y80.1 Inhalation anaesthetic using muscle relaxant),inhalation anaesthetic,5
3033,Operative procedures - secondary OPCS4 (Y80.2 Inhalation anaesthetic using endotracheal intubation NEC),inhalation anaesthetic,5
3034,Operative procedures - secondary OPCS4 (Y80.3 Inhalation anaesthetic NEC),inhalation anaesthetic,5
3035,Operative procedures - secondary OPCS4 (Y80.4 Intravenous anaesthetic NEC),intravenous anaesthetic,5
3036,Operative procedures - secondary OPCS4 (Y80.8 Other specified general anaesthetic),inhalation anaesthetic,4
3037,Operative procedures - secondary OPCS4 (Y80.9 Unspecified general anaesthetic),inhalation anaesthetic,4
3038,Operative procedures - secondary OPCS4 (Y81.1 Epidural anaesthetic using lumbar approach),lumbar puncture,4
3039,Operative procedures - secondary OPCS4 (Y81.8 Other specified spinal anaesthetic),analgesia requirement measurement,4
3040,Operative procedures - secondary OPCS4 (Y81.9 Unspecified spinal anaesthetic),inhalation anaesthetic,3
3041,Operative procedures - secondary OPCS4 (Y82.1 Local anaesthetic nerve block),opioid analgesic,3
3042,Operative procedures - secondary OPCS4 (Y82.2 Injection of local anaesthetic NEC),non-narcotic analgesic,4
3043,Operative procedures - secondary OPCS4 (Y82.3 Application of local anaesthetic NEC),inhalation anaesthetic,3
3044,Operative procedures - secondary OPCS4 (Y82.8 Other specified local anaesthetic),inhalation anaesthetic,3
3045,Operative procedures - secondary OPCS4 (Y82.9 Unspecified local anaesthetic),inhalation anaesthetic,3
3046,Operative procedures - secondary OPCS4 (Y84.1 Gas and air analgesia in labour),opioid analgesic,4
3047,Operative procedures - secondary OPCS4 (Y84.2 Sedation NEC),sedation,5
3048,Operative procedures - secondary OPCS4 (Y84.8 Other specified other anaesthetic),inhalation anaesthetic,4
3049,Operative procedures - secondary OPCS4 (Y84.9 Unspecified other anaesthetic),inhalation anaesthetic,4
3050,Operative procedures - secondary OPCS4 (Y90.3 Scanning NEC),kidney cortex necrosis,4
3051,Operative procedures - secondary OPCS4 (Y91.1 Megavoltage treatment for complex radiotherapy),response to cranial radiation therapy,4
3052,Operative procedures - secondary OPCS4 (Y91.2 Megavoltage treatment for simple radiotherapy),response to cranial radiation therapy,4
3053,Operative procedures - secondary OPCS4 (Y91.9 Unspecified external beam radiotherapy),response to cranial radiation therapy,4
3054,Operative procedures - secondary OPCS4 (Y95.3 From 9 weeks to < 14 weeks gestational age),gestational age,5
3055,Operative procedures - secondary OPCS4 (Y95.4 Under 9 weeks gestational age),gestational age,5
3056,Operative procedures - secondary OPCS4 (Y97.1 Radiology with pre and post contrast),radiologic finding,5
3057,Operative procedures - secondary OPCS4 (Y97.3 Radiology with post contrast),radiologic finding,5
3058,Operative procedures - secondary OPCS4 (Y97.9 Unspecified radiology with contrast),abnormal result of diagnostic imaging,5
3059,Operative procedures - secondary OPCS4 (Y98.1 Radiology of one body area (or < 20 minutes)),encounter with health service related to previous surgical history,4
3060,Operative procedures - secondary OPCS4 (Y98.2 Radiology of two body areas),Abnormality of the abdominal organs,4
3061,Operative procedures - secondary OPCS4 (Y98.3 Radiology of three body areas (or 20-40 minutes)),ATC Code B Blood and blood forming organs,2
3062,Operative procedures - secondary OPCS4 (Y98.4 Radiology of four body areas),Abnormality of head or neck,4
3063,Operative procedures - secondary OPCS4 (Y98.5 Radiology of > 4 body areas (or > 40 minutes)),obsolete_moderate multiminicore disease with hand involvement,2
3064,Operative procedures - secondary OPCS4 (Y98.9 Unspecified radiology procedures),encounter with health service related to previous surgical history,4
3065,Operative procedures - secondary OPCS4 (Z01.9 Tissue of brain NEC),MRI defined brain infarct,4
3066,Operative procedures - secondary OPCS4 (Z06.1 Cervical spinal cord),ventral horn of spinal cord,5
3067,Operative procedures - secondary OPCS4 (Z06.3 Lumbar spinal cord),spinal cord,5
3068,Operative procedures - secondary OPCS4 (Z07.1 Spinal nerve root of cervical spine),cervical region of vertebral column,5
3069,Operative procedures - secondary OPCS4 (Z07.3 Spinal nerve root of lumbar spine),lumbar disc herniation,5
3070,Operative procedures - secondary OPCS4 (Z07.8 Specified spinal nerve root NEC),childhood spinal cord tumor,3
3071,Operative procedures - secondary OPCS4 (Z09.2 Median nerve),peripheral nerve injury,5
3072,Operative procedures - secondary OPCS4 (Z09.4 Ulna nerve),ulnar nerve,5
3073,Operative procedures - secondary OPCS4 (Z09.7 Digital nerve of finger),radial nerve,4
3074,Operative procedures - secondary OPCS4 (Z11.2 Sacral nerve),lumbosacral nerve plexus,5
3075,Operative procedures - secondary OPCS4 (Z12.4 Plantar nerve),tibial nerve,5
3076,Operative procedures - secondary OPCS4 (Z12.8 Specified nerve NEC),sensory peripheral neuropathy,4
3077,Operative procedures - secondary OPCS4 (Z15.1 Upper inner quadrant of breast),lobule of mammary gland,5
3078,Operative procedures - secondary OPCS4 (Z15.2 Upper outer quadrant of breast),lobule of mammary gland,5
3079,Operative procedures - secondary OPCS4 (Z15.9 Breast NEC),necrosis,4
3080,Operative procedures - secondary OPCS4 (Z16.4 Eyelid),eyelid,5
3081,Operative procedures - secondary OPCS4 (Z20.1 External ear),external ear,5
3082,Operative procedures - secondary OPCS4 (Z22.1 External nose),Bulbous nose,3
3083,Operative procedures - secondary OPCS4 (Z24.5 Bronchus),bronchus,5
3084,Operative procedures - secondary OPCS4 (Z24.6 Lung),lung,5
3085,Operative procedures - secondary OPCS4 (Z25.1 Lip),lip,5
3086,Operative procedures - secondary OPCS4 (Z27.1 Oesophagus),esophagus,5
3087,Operative procedures - secondary OPCS4 (Z27.2 Stomach),stomach,5
3088,Operative procedures - secondary OPCS4 (Z27.3 Pylorus),pyloric stenosis,5
3089,Operative procedures - secondary OPCS4 (Z27.4 Duodenum),duodenum,5
3090,Operative procedures - secondary OPCS4 (Z27.6 Ileum),ileum,5
3091,Operative procedures - secondary OPCS4 (Z27.8 Specified upper digestive tract NEC),upper digestive tract disorder,4
3092,Operative procedures - secondary OPCS4 (Z27.9 Upper digestive tract NEC),upper digestive tract disorder,5
3093,Operative procedures - secondary OPCS4 (Z28.2 Caecum),cecum carcinoma,5
3094,Operative procedures - secondary OPCS4 (Z28.3 Ascending colon),ascending colon,5
3095,Operative procedures - secondary OPCS4 (Z28.4 Transverse colon),transverse colon,5
3096,Operative procedures - secondary OPCS4 (Z28.5 Descending colon),descending colon,5
3097,Operative procedures - secondary OPCS4 (Z28.6 Sigmoid colon),sigmoid colon,5
3098,Operative procedures - secondary OPCS4 (Z28.7 Colon NEC),colonic disorder,4
3099,Operative procedures - secondary OPCS4 (Z28.8 Specified large intestine NEC),large intestine disorder,4
3100,Operative procedures - secondary OPCS4 (Z28.9 Large intestine NEC),large intestine disorder,4
3101,Operative procedures - secondary OPCS4 (Z29.1 Rectum),rectum,5
3102,Operative procedures - secondary OPCS4 (Z29.2 Anus),anus,5
